year,values
1997 APR,37.3
1997 MAY,37.7
1997 JUN,38.3
1997 JUL,37.8
1997 AUG,37.9
1997 SEP,37.9
1997 OCT,37.2
1997 NOV,37.5
1997 DEC,37.5
1998 JAN,36.3
1998 FEB,36.1
1998 MAR,36.6
1998 APR,36.2
1998 MAY,36.4
1998 JUN,36.8
1998 JUL,36.3
1998 AUG,36.3
1998 SEP,36.3
1998 OCT,35.5
1998 NOV,35.6
1998 DEC,35.8
1999 JAN,34.6
1999 FEB,34.6
1999 MAR,35.2
1999 APR,34.8
1999 MAY,34.9
1999 JUN,35.3
1999 JUL,34.5
1999 AUG,34.3
1999 SEP,34.3
1999 OCT,33.3
1999 NOV,33.2
1999 DEC,34.4
2000 JAN,32.5
2000 FEB,32.1
2000 MAR,32.6
2000 APR,31.8
2000 MAY,30.6
2000 JUN,31.1
2000 JUL,30.3
2000 AUG,30.2
2000 SEP,29.4
2000 OCT,28.7
2000 NOV,28.9
2000 DEC,29.7
2001 JAN,28.2
2001 FEB,27.9
2001 MAR,28.4
2001 APR,28
2001 MAY,28.3
2001 JUN,28.9
2001 JUL,28.2
2001 AUG,28.2
2001 SEP,28.3
2001 OCT,27.7
2001 NOV,28.2
2001 DEC,28.9
2002 JAN,27.9
2002 FEB,27.7
2002 MAR,28.2
2002 APR,28
2002 MAY,28.1
2002 JUN,28.6
2002 JUL,28
2002 AUG,28.1
2002 SEP,28.5
2002 OCT,28.4
2002 NOV,29.1
2002 DEC,30.2
2003 JAN,29.1
2003 FEB,28.9
2003 MAR,29.8
2003 APR,29.5
2003 MAY,29.6
2003 JUN,29.9
2003 JUL,29.5
2003 AUG,29.6
2003 SEP,30.2
2003 OCT,30
2003 NOV,30.5
2003 DEC,31.4
2004 JAN,30.2
2004 FEB,30.1
2004 MAR,31
2004 APR,31.6
2004 MAY,31.8
2004 JUN,32.6
2004 JUL,32
2004 AUG,32.1
2004 SEP,32.7
2004 OCT,32.4
2004 NOV,33.2
2004 DEC,34.2
2005 JAN,32.8
2005 FEB,32.7
2005 MAR,33.5
2005 APR,33.2
2005 MAY,33.3
2005 JUN,33.9
2005 JUL,33.3
2005 AUG,33.5
2005 SEP,34.1
2005 OCT,33.7
2005 NOV,34.2
2005 DEC,35.2
2006 JAN,33.5
2006 FEB,33.6
2006 MAR,34.4
2006 APR,34.2
2006 MAY,34.7
2006 JUN,35.4
2006 JUL,34.5
2006 AUG,34.7
2006 SEP,35.4
2006 OCT,34.8
2006 NOV,35.2
2006 DEC,35.9
2007 JAN,34.4
2007 FEB,34.2
2007 MAR,35.2
2007 APR,34.8
2007 MAY,35.2
2007 JUN,35.8
2007 JUL,34.8
2007 AUG,35
2007 SEP,35.4
2007 OCT,35
2007 NOV,35.5
2007 DEC,36.4
2008 JAN,34.9
2008 FEB,35.2
2008 MAR,35.8
2008 APR,35.9
2008 MAY,36.6
2008 JUN,37.8
2008 JUL,38
2008 AUG,39.8
2008 SEP,43.2
2008 OCT,43.9
2008 NOV,44.8
2008 DEC,48
2009 JAN,48.1
2009 FEB,48.8
2009 MAR,50.5
2009 APR,51.3
2009 MAY,52.5
2009 JUN,54.1
2009 JUL,54.2
2009 AUG,54.2
2009 SEP,55.3
2009 OCT,55.6
2009 NOV,56.3
2009 DEC,59.8
2010 JAN,61.9
2010 FEB,62.1
2010 MAR,63.7
2010 APR,63.8
2010 MAY,64.4
2010 JUN,65.6
2010 JUL,65.6
2010 AUG,65.9
2010 SEP,67.4
2010 OCT,67.4
2010 NOV,68.3
2010 DEC,69.8
2011 JAN,68.8
2011 FEB,69.1
2011 MAR,70.5
2011 APR,70.6
2011 MAY,71
2011 JUN,72.1
2011 JUL,71.6
2011 AUG,72.4
2011 SEP,73
2011 OCT,72.8
2011 NOV,73.1
2011 DEC,74.4
2012 JAN,73.3
2012 FEB,73.6
2012 MAR,74.6
2012 APR,73.4
2012 MAY,73.6
2012 JUN,74.6
2012 JUL,74
2012 AUG,74.1
2012 SEP,75.1
2012 OCT,75.1
2012 NOV,75.7
2012 DEC,76.8
2013 JAN,75.3
2013 FEB,75.1
2013 MAR,76.2
2013 APR,75.9
2013 MAY,76.2
2013 JUN,76.6
2013 JUL,75.8
2013 AUG,75.6
2013 SEP,76.2
2013 OCT,75.6
2013 NOV,76.2
2013 DEC,77.2
2014 JAN,76.1
2014 FEB,76.2
2014 MAR,76.9
2014 APR,76.7
2014 MAY,77.2
2014 JUN,78.1
2014 JUL,77.6
2014 AUG,77.6
2014 SEP,78.6
2014 OCT,78.3
2014 NOV,78.6
2014 DEC,79.7
2015 JAN,78.2
2015 FEB,78.2
2015 MAR,79.1
2015 APR,78.6
2015 MAY,79
2015 JUN,79.7
2015 JUL,79.1
2015 AUG,78.8
2015 SEP,79.5
2015 OCT,79.2
2015 NOV,79.3
2015 DEC,79.6
2016 JAN,78.2
2016 FEB,77.9
2016 MAR,78.6
2016 APR,78.3
2016 MAY,78.3
2016 JUN,78.6
2016 JUL,77.7
2016 AUG,77.6
2016 SEP,78.2
2016 OCT,77.6
2016 NOV,77.9
2016 DEC,78.6
2017 JAN,76.6
2017 FEB,76.4
2017 MAR,77.2
2017 APR,76.2
2017 MAY,76.5
2017 JUN,77.2
2017 JUL,76.5
2017 AUG,76.4
2017 SEP,77.2
2017 OCT,75.6
2017 NOV,74.7
2017 DEC,74.3
2018 JAN,73
2018 FEB,72.9
2018 MAR,73.6
2018 APR,73
2018 MAY,73
2018 JUN,73.4
2018 JUL,72.4
2018 AUG,72.4
2018 SEP,72.8
2018 OCT,72.6
2018 NOV,72.7
2018 DEC,73.3
2019 JAN,71.9
2019 FEB,71.7
2019 MAR,72.3
2019 APR,71.6
2019 MAY,71.9
2019 JUN,72.3
2019 JUL,71.7
2019 AUG,71.7
2019 SEP,72.2
2019 OCT,73.2
2019 NOV,74.4
2019 DEC,76.1
2020 JAN,75.6
2020 FEB,75.9
2020 MAR,76.8
2020 APR,79.3
2020 MAY,82.2
2020 JUN,84.5
2020 JUL,85.7
2020 AUG,87.1
2020 SEP,88.6
2020 OCT,87.8
2020 NOV,87.7
2020 DEC,88.1
2021 JAN,86.8
2021 FEB,86.8
2021 MAR,87.1
2021 APR,87.7
2021 MAY,88
2021 JUN,88.3
2021 JUL,87.4
2021 AUG,86.1
2021 SEP,85.9
2021 OCT,85.6
2021 NOV,85.4
2021 DEC,85.7
2022 JAN,84.3
2022 FEB,84
2022 MAR,84.2
2022 APR,83.7
2022 MAY,83.9
2022 JUN,84.6
2022 JUL,84.4
2022 AUG,84.5
2022 SEP,85.1
2022 OCT,85.9
2022 NOV,86.7
2022 DEC,88.1
2023 JAN,87.2
